time,temperature_C,humidity_pct,snowfall_cm,precip_mm,dewpoint_C,segment_id,CP,S_struct,SCE,admissible,depth_est_cm,depth_min_cm,depth_max_cm,corridor_score
2024-05-25 19:52:00+00:00,20.6,48.6330194075455,0.0,0.0,9.4,0,18.713309950953924,19.399116146678153,3.758987691874639e-09,False,38.756822515261426,1.4568641881103757e-07,77.51364488483642,1.4568641881103757e-07
2024-05-25 20:52:00+00:00,20.0,52.54132558105212,0.0,0.0,10.0,0,18.713309950953924,19.399116146678153,3.758987691874639e-09,False,38.756822515261426,1.4568641881103757e-07,77.51364488483642,1.4568641881103757e-07
2024-05-25 21:00:00+00:00,20.0,52.54132558105212,0.0,0.0,10.0,0,18.713309950953924,19.399116146678153,3.758987691874639e-09,False,38.756822515261426,1.4568641881103757e-07,77.51364488483642,1.4568641881103757e-07
2024-05-25 21:52:00+00:00,19.4,54.53437035398022,0.0,0.0,10.0,0,18.713309950953924,19.399116146678153,3.758987691874639e-09,False,38.756822515261426,1.4568641881103757e-07,77.51364488483642,1.4568641881103757e-07
2024-05-25 22:52:00+00:00,19.4,50.64899757712041,0.0,0.0,8.9,0,18.713309950953924,19.399116146678153,3.758987691874639e-09,False,38.756822515261426,1.4568641881103757e-07,77.51364488483642,1.4568641881103757e-07
2024-05-25 23:52:00+00:00,19.4,47.00995943327121,0.0,0.0,7.8,0,18.713309950953924,19.399116146678153,3.758987691874639e-09,False,38.756822515261426,1.4568641881103757e-07,77.51364488483642,1.4568641881103757e-07
2024-05-26 00:00:00+00:00,19.4,47.00995943327121,0.0,0.0,7.8,0,18.713309950953924,19.399116146678153,3.758987691874639e-09,False,38.756822515261426,1.4568641881103757e-07,77.51364488483642,1.4568641881103757e-07
2024-05-26 00:52:00+00:00,18.3,44.81471436439169,0.0,0.0,6.1,0,17.706691443226646,20.405734654405432,1.3737320806543825e-09,False,38.07545678355667,5.2305476469141325e-08,76.15091351480785,5.2305476469141325e-08
2024-05-26 01:52:00+00:00,16.1,49.755123239539145,0.0,0.0,5.6,0,14.22253259469818,23.889893502933898,4.214548717984844e-11,False,35.39609759031802,1.4917857772094126e-09,70.79219517914426,1.4917857772094126e-09
2024-05-26 02:52:00+00:00,16.1,44.19055459597692,0.0,0.0,3.9,0,14.22253259469818,23.01455511208977,1.0113598564969618e-10,False,35.39609759031802,3.579819217949649e-09,70.79219517705623,3.579819217949649e-09
2024-05-26 03:00:00+00:00,16.1,44.19055459597692,0.0,0.0,3.9,0,14.159286048912158,23.077801657875792,9.493756433885838e-11,False,35.3419727011821,3.355280807180652e-09,70.68394539900892,3.355280807180652e-09
2024-05-26 03:52:00+00:00,14.4,53.22854649700962,0.0,0.0,5.0,0,12.039311022875717,24.714002855361663,1.8486084513088583e-11,False,33.38359335263698,6.171319280674294e-10,66.76718670465682,6.171319280674294e-10
